(shuffle) accuracy: 74.10239361702128, lr: 0.005, batch: 179, dropout: 0.7, lstm units: 286
(shuffle) accuracy: 77.2440159574468, lr: 0.01, batch: 39, dropout: 0.2, lstm units: 66
(shuffle) accuracy: 78.29122340425532, lr: 0.002, batch: 434, dropout: 0.2, lstm units: 379
(shuffle) accuracy: 73.60372340425532, lr: 0.004, batch: 258, dropout: 0.7, lstm units: 270
(shuffle) accuracy: 73.08843085106383, lr: 0.004, batch: 205, dropout: 0.7, lstm units: 354
(shuffle) accuracy: 75.06648936170212, lr: 0.004, batch: 233, dropout: 0.7, lstm units: 360
(shuffle) accuracy: 77.6595744680851, lr: 0.01, batch: 313, dropout: 0.4, lstm units: 361
(shuffle) accuracy: 77.87566489361703, lr: 0.01, batch: 270, dropout: 0.5, lstm units: 138
(shuffle) accuracy: 77.90890957446808, lr: 0.003, batch: 181, dropout: 0.4, lstm units: 91
(shuffle) accuracy: 77.04454787234043, lr: 0.003, batch: 463, dropout: 0.6, lstm units: 148
(shuffle) accuracy: 76.9780585106383, lr: 0.01, batch: 474, dropout: 0.6, lstm units: 144
(shuffle) accuracy: 77.6097074468085, lr: 0.01, batch: 198, dropout: 1.0, lstm units: 375
(shuffle) accuracy: 78.125, lr: 0.004, batch: 158, dropout: 0.2, lstm units: 223
(shuffle) accuracy: 77.94215425531915, lr: 0.002, batch: 336, dropout: 0.5, lstm units: 126
(shuffle) accuracy: 77.42686170212765, lr: 0.002, batch: 107, dropout: 0.6, lstm units: 136
(shuffle) accuracy: 77.99202127659575, lr: 0.001, batch: 192, dropout: 0.1, lstm units: 323
(shuffle) accuracy: 74.5844414893617, lr: 0.004, batch: 100, dropout: 0.7, lstm units: 124
(shuffle) accuracy: 77.90890957446808, lr: 0.01, batch: 440, dropout: 0.1, lstm units: 67
(shuffle) accuracy: 77.2938829787234, lr: 0.005, batch: 89, dropout: 0.6, lstm units: 368
(shuffle) accuracy: 77.62632978723404, lr: 0.001, batch: 73, dropout: 0.5, lstm units: 368
(shuffle) accuracy: 77.69281914893617, lr: 0.003, batch: 270, dropout: 0.2, lstm units: 180
(shuffle) accuracy: 77.97539893617021, lr: 0.005, batch: 42, dropout: 0.3, lstm units: 178
(shuffle) accuracy: 77.6595744680851, lr: 0.001, batch: 253, dropout: 0.6, lstm units: 171
(shuffle) accuracy: 77.7593085106383, lr: 0.01, batch: 434, dropout: 0.2, lstm units: 217
(shuffle) accuracy: 77.50997340425532, lr: 0.01, batch: 64, dropout: 0.2, lstm units: 300
(shuffle) accuracy: 78.0252659574468, lr: 0.004, batch: 1024, dropout: 0.4, lstm units: 175
(shuffle) accuracy: 77.59308510638297, lr: 0.002, batch: 64, dropout: 0.5, lstm units: 200
(shuffle) accuracy: 77.92553191489363, lr: 0.003, batch: 512, dropout: 0.2, lstm units: 325
(shuffle) accuracy: 77.74268617021278, lr: 0.001, batch: 256, dropout: 0.5, lstm units: 300
(shuffle) accuracy: 77.89228723404256, lr: 0.002, batch: 1024, dropout: 0.5, lstm units: 100
(shuffle) accuracy: 78.00864361702128, lr: 0.004, batch: 128, dropout: 0.3, lstm units: 325
(shuffle) accuracy: 77.6595744680851, lr: 0.01, batch: 256, dropout: 0.4, lstm units: 125
(shuffle) accuracy: 77.8091755319149, lr: 0.003, batch: 64, dropout: 0.2, lstm units: 150
(shuffle) accuracy: 78.04188829787235, lr: 0.004, batch: 128, dropout: 0.2, lstm units: 350
(shuffle) accuracy: 77.94215425531915, lr: 0.01, batch: 512, dropout: 0.4, lstm units: 125
(shuffle) accuracy: 77.49335106382979, lr: 0.002, batch: 32, dropout: 0.5, lstm units: 75
(shuffle) accuracy: 77.6097074468085, lr: 0.003, batch: 256, dropout: 0.5, lstm units: 150
(shuffle) accuracy: 78.10837765957447, lr: 0.01, batch: 512, dropout: 0.3, lstm units: 100
(shuffle) accuracy: 77.82579787234043, lr: 0.004, batch: 32, dropout: 0.3, lstm units: 350
(shuffle) accuracy: 77.90890957446808, lr: 0.003, batch: 256, dropout: 0.2, lstm units: 200
(shuffle) accuracy: 78.24135638297872, lr: 0.004, batch: 64, dropout: 0.5, lstm units: 175
(shuffle) accuracy: 77.3936170212766, lr: 0.01, batch: 64, dropout: 0.3, lstm units: 375
(shuffle) accuracy: 77.8590425531915, lr: 0.01, batch: 1024, dropout: 0.4, lstm units: 125
(shuffle) accuracy: 77.21077127659575, lr: 0.003, batch: 32, dropout: 0.5, lstm units: 75
(shuffle) accuracy: 77.99202127659575, lr: 0.002, batch: 512, dropout: 0.2, lstm units: 375
(shuffle) accuracy: 77.84242021276596, lr: 0.001, batch: 128, dropout: 0.1, lstm units: 100
